publ_datetime,articles,tickers
2020-06-24 10:54:05.338,"Permanencia de los Benetton en accionariado Cellnex sería positiva.  En medio de las especulaciones en prensa sobre el interés de varios fondos internacionales por la participación de los Benetton en Cellnex (CLNX.MC), Banco Sabadell cree que la permanencia de la familia italiana en el accionariado del operador español de infraestructuras de telecomunicaciones sería doblemente positiva. Por un lado, el compromiso de los Benetton con el proyecto de Cellnex alejaría el riesgo de una posible presión vendedora en el corto plazo, ""algo que tras la ruptura del pacto de accionistas era fuente de incertidumbre"", señala el banco. Por otro, el interés de los fondos por esta participación ""pondría de manifiesto el apetito que hay por Cellnex"", añade. Reitera su recomendación de comprar, con un precio objetivo de EUR55,80. La acción baja un 0,7% a EUR53,44. 

",['CLNX.MC']
2020-06-24 11:21:20.603,"Retomar subastas renovables en España sería buena noticia para sector.  La intención del Gobierno español de retomar las subastas de energías renovables cuanto antes ""serían buenas noticias para los promotores de activos renovables"", indica Sabadell en una nota de análisis tras la aprobación por el Gobierno español de una serie de medidas para el impulso de estas tecnologías. Las subastas aumentan ""la visibilidad de los flujos de caja"" de los promotores, añade el banco, que considera que Iberdrola (IBE.MC), Acciona (ANA.MC) y ENCE (ENC.MC) serían las empresas españolas más expuestas, en las cuales ""las renovables tienen un peso total del 28%, 65% y un 27%"" del valor de empresa, respectivamente. Acciona tiene una cuarta parte de su ""pipeline"" localizado en España, comenta Sabadell, lo que supondría unos 3.250 megavatios del total de 13.000 MW que tiene en distintas fases de negocio, mientras que el porcentaje es del 100% en el caso de ENCE. 

","['ENC.MC', 'IBE.MC', 'ANA.MC']"
2020-06-24 11:41:30.560,"Presidente Telefónica prevé consolidación en sector telecomunicaciones europeo -Diario.  El presidente de Telefónica SA (TEF.MC), José María Álvarez-Pallete, prevé una consolidación en el sector de telecomunicaciones europeo tras el fallo del Tribunal General de la Unión Europea que relajará las restricciones en los procesos de fusión, según dijo en una entrevista con el Finacial Times publicada el miércoles.

En mayo, dicho tribunal anuló la decisión de las autoridades de competencia comunitarias en 2016 de prohibir la venta de su filial británica O2 a CK Hutchison Holdings Ltd (0001.HK), ratificando la apelación del grupo asiático, propietario del operador de telefonía móvil británico Three.. La Comisión Europea consideró en 2016 que la reducción de cuatro a tres actores en el mercado de Reino Unido habría provocado un aumento de los precios y una limitación de las opciones para los consumidores. Sin embargo, el tribunal de la UE concluyó que los efectos de la operación en los precios y en la calidad de los servicios para los consumidores no fueron probados con el estándar legal requerido.

""Se están alineando las estrellas para la consolidación en las telecomunicaciones"", afirmó Álvarez-Pallete. ""Realmente creo que las reglas de competencia van a interpretarse de una manera distinta"".

En este sentido, dijo que al final las compañías del sector no solo compiten con operadores tradicionales, sino también con redes sociales como WhatsApp o Facebook, ambas propiedad de Facebook Inc (FB), y aplicaciones como FaceTime, de Apple Inc (AAPL). ""Los tiempos han cambiado. No tiene sentido que haya cientos de operadores de telecomunicaciones en Europa"", aseguró.

El directivo señaló que transacciones recientes, como la integración de O2 con Virgin Media, propiedad de Liberty Global PLC (LBTYA), o la posible compra de MásMóvil Ibercom SA (MAS.MC) por los fondos de capital riesgo KKR & Co Inc (KKR), Cinven Group Ltd (CVN.YY) y Providence Equity Partners LLC (PEQP.XX) demuestran el ""valor oculto"" de las compañías de telecomunicaciones europeas.

A las 0940 , la acción de Telefónica baja un 1,8% a EUR4,22.

","['MAS.MC', 'TEF.MC']"
2020-06-24 12:24:06.662,"Amadeus saldrá reforzado de esta crisis -Sabadell.  Sabadell cree que la capacidad de competir de Amadeus (AMS.MC) saldrá reforzada de esta crisis y que el grupo podrá sortear un 2020 muy negativo gracias a las medidas que ha tomado para fortalecer su liquidez. Además, el banco considera que el negocio de soluciones tecnológicas y la expansión de su cartera de clientes en el área de hoteles serán fundamentales en el escenario al alza que maneja. A corto plazo, la entidad señala que el apoyo de los gobiernos a la economía y al sector aéreo y el intento de restablecer rápidamente el turismo dan soporte a una recuperación del tráfico aéreo a partir del segundo semestre de este año si no hay rebrotes del coronavirus que lleven a nuevos confinamientos, ""lo que será el principal catalizador del valor"". Mantiene su recomendación de comprar y un precio objetivo de EUR54. La acción de Amadeus baja un 2,6% a EUR48,37. 

",['AMS.MC']
2020-06-24 13:06:15.907,"Fondo Polygon solicita a CNMV que analice y altere la opa por MásMóvil.   El fondo inversor londinense Polygon Global Partners LLP, cuyo socio fundador Reade Griffith posee el 1,025% de las acciones de MásMóvil Ibercom SA (MAS.MC), ha remitido un escrito a la Comisión Nacional del Mercado de Valores para solicitar que analice y haga modificaciones en la opa presentada por Cinven Group Ltd (CVN.YY), KKR & Co Inc (KKR) y Providence Equity Partners LLC (PEQP.XX), al carecer de un informe independiente sobre el precio.

Polygon remitió miércoles a la prensa el escrito, fechado el martes, después de que el lunes la CNMV hiciese público que Griffith ha superado el umbral del 1% en títulos de MásMóvil.. En la carta, Polygon expuso que la opa no ha atendido a un artículo de la Ley del Mercado de Valores, que a su juicio sería de aplicación en este caso, según el cual ""el oferente deberá aportar un informe de experto independiente sobre los métodos y criterios de valoración aplicados para determinar el precio ofrecido"".

La argumentación de Polygon combina la ausencia de ese informe con la situación de ""calamidad"" por la crisis económica del coronavirus y así entiende que el precio de EUR22,5 por acción de la opa es ""inferior al equitativo"".

Por ello, pidió a la CNMV que aclare qué aspectos de la Ley del Mercado de Valores son aplicables en esta época de pandemia y que haga un análisis y las modificaciones pertinentes en esa opa.

Además, Polygon indicó que, una vez presentada la opa al empezar junio, MásMóvil ha comunicado dos acuerdos destacados: la venta a un fondo de parte de su red el día 12 y un pacto con Telefónica SA (TEF.MC) el lunes para el traslado de las líneas móviles de la adquirida Lyca y nuevos accesos mayoristas. Como Polygon entiende que esos acuerdos son beneficiosos para la situación financiera de MásMóvil, añadió que deberían ser tenidos también en cuenta en el precio de la opa.

Otra de las reclamaciones que hizo Polygon se refiere al acuerdo de compensación al fondo Providence --por oferente y al mismo tiempo accionista-- en el caso de que se dé una contraopa.

Polygon lamentó que se haya establecido ""una compensación superior a la del resto de accionistas aceptantes"", porque eso es ""contrario al principio de igualdad de trato que exige la normativa vigente sobre opas.

","['MAS.MC', 'TEF.MC']"
2020-06-24 14:32:27.557,"Iberdrola construirá planta solar de 100 MW en consorcio público-privado vasco.  Iberdrola SA (IBE.MC) construirá la mayor planta fotovoltaica del País Vasco, que tendrá una potencia instalada de 100 megavatios, dentro de una alianza público-privada.

En una nota de prensa, la eléctrica dijo que participará mayoritariamente en el proyecto --con un 75% del mismo-- junto con el Grupo Mondragón, la Diputación Foral de Álava y el Ente Vasco de la Energía para ""construir la que será la mayor planta fotovoltaica de Euskadi"".. El proyecto, cuya puesta en marcha está prevista para 2023 y su inicio de construcción en 2022, requerirá EUR70 millones de inversión.

A las 1232 , la acción de Iberdrola cae un 1,5% a EUR10,13.

",['IBE.MC']
2020-06-25 08:28:49.530,"Iberdrola frena inversión de US$1.200m en México.  Iberdrola SA (IBE.MC) frenó la construcción de una planta energética que iba a tener una inversión de US$1.200 millones en el municipio mexicano de Tuxpan por supuestos desacuerdos con la estatal Comisión Federal de Electricidad --o CFE, por sus siglas--, según explicó el miércoles a medios locales el alcalde de la localidad.

""Debido a que no se había concretado un contrato con la empresa TransCanada y CFE de suministro de gas, estuvieron nueve meses en el intento, no pudieron y decidieron retirarse"", dijo en entrevista con MVS Radio Juan Antonio Aguilar, alcalde de Tuxpan, en el occidental estado de Veracruz.. Según el político, la construcción de la planta iba tener una inversión de US$1.200 millones, de los cuales US$40 millones ya se invirtieron en la compra del terreno y pagos de permisos, e iba a generar cerca de 2.000 empleos directos.

La construcción debía comenzar este 1 de agosto, pero tras casi un año sin poder cerrar un acuerdo con la CFE para el suministro de gas, la empresa habría comunicado el alcalde la suspensión de la obra.

""Quedaría cancelada esta obra, esta inversión importante. No niego que se pueda recuperar pero hoy por hoy lo manejan como cancelado"", expresó el alcalde, del opositor Partido Acción Nacional.

"" la pandemia, esta construcción iba a dar un gran respiro a toda esta gente"", dijo sobre la epidemia de coronavirus, que lleva 191.410 enfermos confirmados y 23.377 decesos en México.

Hasta el momento, Iberdrola no ha hecho declaraciones.

Con una plantilla de 1.300 trabajadores y una cuota de mercado en México del 15%, Iberdrola tiene una capacidad instalada de más de 9.100 megavatios repartida en 22 centrales --ciclos combinados, cogeneraciones, parques eólicos y fotovoltaicos-- ubicadas en 13 estados.

El presidente de México, Andrés Manuel López Obrador, partidario del control estatal del sector energético, ha asegurado en varias ocasiones que en anteriores Gobiernos hubo empresas españolas favorecidas con contratos, como Repsol SA (REP.MC) e Iberdrola.

Sobre Iberdrola, criticó el pasado 12 de junio las colaboraciones de la exsecretaria de Energía Georgina Kessel --2006-2011-- y del expresidente Felipe Calderón --2006-2012--, ya desvinculado de la empresa.

""Decirle a los de Iberdrola y a todos los de estas empresas que está abierta la posibilidad de diálogo para llegar a un acuerdo"", remarcó el 17 de junio, tras denunciar un supuesto monopolio en el sector de la energía.

","['REP.MC', 'IBE.MC']"
2020-06-25 09:29:12.015,"Sabadell saca a la venta cartera de hipotecas morosas de EUR1.000m -Fte.  Banco de Sabadell SA (SAB.MC) ha puesto en venta una cartera de hipotecas morosas de EUR1.000 millones, según indicó el jueves una fuente con conocimiento de la situación, pese al complicado contexto actual marcado por la pandemia de coronavirus.

El banco ha encargado la operación a Ernst & Young, con el objetivo de sondear si hay apetito inversor, según la fuente, que añadió que por el momento parece que sí existe.. Sabadell pretende ser riguroso a la hora de seleccionar las ofertas para evitar precios bajos, por lo que no hay un calendario de plazos fijado para la operación, agregó la fuente.

La entidad ya sacó en mayo otra cartera de créditos morosos concedidos a pequeñas y medianas empresas españolas valorados en EUR300 millones, según indicó en su momento una fuente cercana al proceso, pese a que España aún se encontraba en pleno estado de alarma decretado para contener la propagación del coronavirus y la economía daba sus primeros pasos para volver a arrancar.

A las 0728 , la acción de Sabadell baja un 2,3% a EUR0,30.

",['SAB.MC']
2020-06-25 10:45:01.676,"Meliá Hotels no está bien posicionada para entorno actual -Jefferies.  Jefferies considera que el modelo operativo mixto de Meliá Hotels (MEL.MC), en el que los hoteles que tiene en propiedad o alquila tienen un gran peso, no posiciona bien a la compañía para afrontar el entorno actual. Además, su ""alta exposición internacional se traducirá en una recuperación lenta"" puesto que, ante la reducción de capacidad de las aerolíneas, el turismo exterior tardará más en recuperarse, indica Jefferies, que estima que no recuperará los niveles de ocupación hasta junio de 2022 y de precios hasta diciembre del mismo año. También destaca que las acciones de la cadena hotelera cotizan con un importante descuento del 68% sobre el valor neto de sus activos. Por ello, la correduría inicia la cobertura del valor en mantener y un precio objetivo de EUR4,5. Las acciones de Meliá Hotels caen un 1,5% a EUR3,9. 

",['MEL.MC']
2020-06-25 10:55:26.210,"Los costes del Covid-19 para Siemens Gamesa se disiparán en 2021.  Siemens Gamesa (SGRE.MC) completará este año gran parte de sus contratos problemáticos y los costes del Covid-19 para el fabricante de turbinas eólicas ""se disiparán en 2021"", indica Citi en una nota de análisis. El banco estadounidense destaca las perspectivas a largo plazo para la compañía porque espera que el mercado de la tecnología eólica marina sea uno de los que más crezca en la próxima década, gracias al creciente apoyo de los países a la ""transición verde"" tras el Covid-19. Después de que Siemens Gamesa recortase su previsión de beneficios para este año, Citi reduce sus proyecciones para este ejercicio y el próximo, aunque mantiene su recomendación de comprar y el precio objetivo en EUR17,5. La acción sube un 0,6% a EUR15,23. 

",['SGRE.MC']
