article_id,firm,tickers,shock_type,shock_magnitude,shock_direction
0,Cellnex,CLNX.MC,financial,minor,positive
1,ENCE (ENC.MC),ENC.MC,policy,minor,positive
1,Iberdrola (IBE.MC),IBE.MC,policy,minor,positive
1,Acciona (ANA.MC),ANA.MC,policy,minor,positive
2,Telefónica SA,TEF.MC,policy,minor,positive
2,MásMóvil Ibercom SA,MAS.MC,policy,minor,positive
3,Amadeus,AMS.MC,demand,minor,positive
4,MásMóvil Ibercom SA,MAS.MC,financial,minor,positive
4,Telefónica SA,TEF.MC,financial,minor,positive
5,Iberdrola,IBE.MC,supply,minor,positive
6,Iberdrola,IBE.MC,supply,major,negative
7,Banco de Sabadell SA,SAB.MC,financial,minor,negative
8,Meliá Hotels,MEL.MC,demand,minor,negative
9,Siemens Gamesa,SGRE.MC,financial,minor,positive
10,Ferrovial SA,FER.MC,financial,major,positive
11,Ferrovial,FER.MC,demand,minor,positive
12,Iberdrola,IBE.MC,policy,minor,positive
12,Siemens Gamesa,SGRE.MC,policy,minor,positive
12,Endesa,ELE.MC,policy,minor,positive
13,Meliá Hotels International SA,MEL.MC,demand,major,negative
14,Iberia,IBE.MC,policy,minor,positive
15,Bankia SA (BKIA.MC),BKIA.MC,financial,minor,positive
15,Banco Santander SA (SAN.MC),SAN.MC,financial,minor,positive
15,Abengoa SA (ABG.MC),ABG.MC,financial,major,negative
16,Banco Santander S.A.,SAN.MC,financial,minor,positive
17,Iberdrola,IBE.MC,financial,minor,positive
18,Iberdrola,IBE.MC,financial,minor,positive
19,Ferrovial,FER.MC,financial,minor,negative
20,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,supply,major,positive
21,Iberdrola,IBE.MC,financial,minor,positive
22,Iberdrola,IBE.MC,financial,major,positive
23,Colonial SOCIMI SA,COL.MC,financial,minor,negative
24,Aena SME SA,AENA.MC,supply,major,negative
25,Siemens Gamesa Renewable Energy SA (SGRE.MC),SGRE.MC,supply,major,negative
26,Siemens Gamesa,SGRE.MC,demand,major,positive
27,Iberdrola,IBE.MC,financial,minor,positive
28,Aena,AENA.MC,financial,minor,positive
29,Aena,AENA.MC,financial,minor,negative
30,Siemens Gamesa,SGRE.MC,supply,minor,negative
31,CaixaBank S.A.,CABK.MC,financial,minor,positive
32,Amadeus IT Group S.A.,AMS.MC,financial,minor,positive
33,Aena,AENA.MC,demand,minor,positive
34,Telefónica,TEF.MC,financial,minor,negative
35,ACS,ACS.MC,financial,minor,positive
35,Sacyr,SCYR.MC,financial,minor,positive
36,Iberdrola SA,IBE.MC,financial,minor,positive
36,Repsol SA,REP.MC,financial,minor,positive
37,Iberdrola,IBE.MC,financial,minor,positive
38,Telefónica,TEF.MC,supply,minor,positive
39,Amadeus,AMS.MC,financial,minor,negative
40,Aena SME SA,AENA.MC,financial,minor,negative
40,Ferrovial SA,FER.MC,financial,minor,positive
41,Cellnex,CLNX.MC,financial,minor,positive
42,BBVA,BBVA.MC,financial,major,positive
43,Lar España Real Estate Socimi SA,LRE.MC,policy,minor,negative
43,Merlin Properties Socimi SA,MRL.MC,policy,minor,negative
43,Inmobiliaria Colonial SA Socimi,COL.MC,policy,minor,negative
44,Endesa,ELE.MC,policy,minor,positive
45,Enagás,ENG.MC,supply,minor,negative
46,CaixaBank SA,CABK.MC,financial,minor,positive
47,Cellnex,CLNX.MC,financial,minor,positive
48,BBVA,BBVA.MC,financial,major,positive
49,Cellnex,CLNX.MC,financial,major,positive
50,Red Eléctrica,REE.MC,demand,minor,positive
51,Amadeus,AMS.MC,demand,minor,negative
52,Iberdrola SA,IBE.MC,policy,major,positive
53,Bankinter,BKT.MC,financial,minor,positive
54,Actividades de Construcción y Servicios,ACS.MC,policy,minor,negative
55,Siemens Gamesa,SGRE.MC,financial,minor,negative
56,MásMóvil,MAS.MC,financial,minor,positive
57,Meliá Hotels,MEL.MC,demand,minor,negative
58,Iberdrola,IBE.MC,supply,minor,negative
59,Banco Santander SA,SAN.MC,financial,minor,positive
60,Aena SME SA,AENA.MC,demand,minor,positive
61,Banco Santander SA,SAN.MC,financial,minor,positive
61,Abengoa SA,ABG.MC,financial,major,negative
61,Bankia SA,BKIA.MC,financial,minor,positive
62,ACS,ACS.MC,policy,minor,negative
63,Cellnex,CLNX.MC,financial,minor,negative
64,Cellnex,CLNX.MC,financial,major,positive
65,Naturgy,NTGY.MC,policy,minor,positive
66,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,financial,major,negative
67,Inditex,ITX.MC,supply,minor,positive
68,Abertis,ACS.MC,financial,minor,positive
69,Siemens Gamesa,SGRE.MC,demand,minor,positive
70,Ferrovial S.A.,FER.MC,demand,minor,positive
71,Telefónica SA,TEF.MC,policy,minor,positive
72,Repsol SA (REP.MC),REP.MC,financial,minor,positive
73,Iberdrola,IBE.MC,financial,minor,positive
74,Repsol,REP.MC,financial,minor,positive
75,Acciona SA,ANA.MC,demand,minor,positive
76,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,positive
76,CaixaBank SA,CABK.MC,financial,minor,positive
77,Siemens Gamesa,SGRE.MC,demand,minor,positive
78,Telefónica,TEF.MC,financial,minor,negative
79,Iberdrola,IBE.MC,demand,major,positive
80,Telefónica S.A.,TEF.MC,supply,major,positive
81,Grifols,GRF.MC,demand,major,positive
82,Telefónica,TEF.MC,financial,minor,positive
83,Grifols SA,GRF.MC,demand,minor,positive
84,Acciona S.A.,ANA.MC,financial,minor,positive
85,Grifols,GRF.MC,demand,minor,positive
86,Telefónica,TEF.MC,financial,minor,positive
87,IAG,IAG.MC,demand,minor,negative
88,Cellnex,CLNX.MC,financial,minor,negative
89,CaixaBank SA,CABK.MC,financial,minor,negative
89,Bankinter SA,BKT.MC,financial,minor,negative
89,Banco Sabadell SA,SAB.MC,financial,minor,negative
89,Bankia SA,BKIA.MC,financial,minor,negative
89,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,negative
89,Banco Santander SA,SAN.MC,financial,minor,negative
90,Merlin Properties,MRL.MC,financial,major,negative
91,Cellnex,CLNX.MC,demand,minor,positive
92,Cellnex,CLNX.MC,demand,minor,positive
93,Grifols,GRF.MC,demand,minor,positive
94,BBVA,BBVA.MC,financial,minor,positive
95,Cellnex,CLNX.MC,supply,minor,positive
96,Almirall,ALM.MC,financial,minor,negative
97,Grifols,GRF.MC,demand,minor,positive
98,Telefónica (TEF.MC),TEF.MC,financial,minor,positive
98,Cellnex Telecom SA (CLNX.MC),CLNX.MC,financial,minor,positive
99,Iberdrola,IBE.MC,financial,minor,positive
100,Iberdrola,IBE.MC,demand,minor,positive
101,Iberdrola,IBE.MC,demand,minor,positive
101,Endesa,ELE.MC,demand,minor,positive
101,Red Eléctrica,REE.MC,demand,minor,positive
102,Cellnex,CLNX.MC,financial,minor,positive
103,Iberdrola,IBE.MC,financial,minor,positive
104,Naturgy,NTGY.MC,demand,minor,negative
105,Naturgy Energy Group SA,NTGY.MC,financial,minor,negative
